epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1010.2,1.09499,0.56948,1.00215,0.90912,0.95166,0.96685,0.71546,1.12562,0.51288,1.00771,0.001505,0.001505,0.001505
77,1023.34,1.10552,0.56991,1.00544,0.92497,0.93903,0.97467,0.72226,1.10445,0.50866,1.00267,0.0014984,0.0014984,0.0014984
78,1036.64,1.10494,0.57202,1.00647,0.91572,0.94965,0.97454,0.72604,1.08787,0.48446,0.99796,0.0014918,0.0014918,0.0014918
79,1049.71,1.08963,0.56354,1.00512,0.92102,0.94043,0.97516,0.71702,1.17288,0.50569,1.03218,0.0014852,0.0014852,0.0014852
80,1063.15,1.12992,0.57376,1.00536,0.91857,0.94385,0.97481,0.71909,1.15294,0.49955,1.02143,0.0014786,0.0014786,0.0014786
81,1076.13,1.12074,0.57606,1.0105,0.92643,0.9408,0.97351,0.7243,1.10771,0.48941,1.00281,0.001472,0.001472,0.001472
82,1089.23,1.07427,0.56486,0.99878,0.90646,0.95105,0.9755,0.72462,1.10836,0.49197,1.00654,0.0014654,0.0014654,0.0014654
83,1102.69,1.12526,0.57947,1.00022,0.91271,0.95477,0.9756,0.7222,1.18455,0.50327,1.03968,0.0014588,0.0014588,0.0014588
84,1116.02,1.09743,0.56555,0.999,0.91192,0.95654,0.97356,0.73009,1.13578,0.49168,1.00751,0.0014522,0.0014522,0.0014522
85,1129.32,1.0974,0.56841,0.9952,0.92304,0.94282,0.97271,0.7278,1.10813,0.48907,1.00158,0.0014456,0.0014456,0.0014456
86,1142.55,1.08665,0.56747,1.00003,0.9181,0.94699,0.97704,0.71919,1.14161,0.48831,1.01622,0.001439,0.001439,0.001439
87,1155.81,1.10015,0.57152,1.00454,0.90561,0.9541,0.97358,0.71598,1.14791,0.49742,1.01548,0.0014324,0.0014324,0.0014324
88,1168.84,1.08265,0.55891,0.9976,0.91973,0.94552,0.97496,0.72636,1.10443,0.51241,0.9993,0.0014258,0.0014258,0.0014258
89,1182.01,1.08631,0.5654,1.00273,0.90414,0.95789,0.97784,0.72096,1.17304,0.5062,1.02345,0.0014192,0.0014192,0.0014192
90,1195.27,1.07754,0.55863,0.99584,0.92975,0.94238,0.97732,0.72354,1.15402,0.48016,1.01521,0.0014126,0.0014126,0.0014126
91,1208.61,1.10005,0.5578,1.00738,0.91854,0.94144,0.97377,0.72693,1.12619,0.48173,1.01254,0.001406,0.001406,0.001406
92,1221.8,1.09145,0.56089,1.00102,0.92246,0.94098,0.97447,0.72694,1.15028,0.49922,1.01369,0.0013994,0.0013994,0.0013994
93,1235.24,1.07188,0.55127,0.99165,0.92254,0.93994,0.97504,0.71687,1.20128,0.50285,1.04136,0.0013928,0.0013928,0.0013928
94,1248.28,1.07732,0.55399,0.99979,0.92273,0.93881,0.97521,0.7285,1.13975,0.48589,1.0159,0.0013862,0.0013862,0.0013862
95,1261.57,1.07515,0.54529,0.9918,0.92583,0.94629,0.97854,0.72304,1.1314,0.48682,1.00943,0.0013796,0.0013796,0.0013796
96,1274.93,1.08999,0.55807,0.99961,0.9234,0.94287,0.97669,0.72792,1.15604,0.486,1.01683,0.001373,0.001373,0.001373
97,1288.4,1.09603,0.55699,0.99839,0.91476,0.95264,0.97814,0.73111,1.13135,0.48425,1.00875,0.0013664,0.0013664,0.0013664
98,1301.66,1.06779,0.54566,0.99234,0.91495,0.95508,0.97676,0.73513,1.12751,0.48414,1.0083,0.0013598,0.0013598,0.0013598
99,1314.98,1.09338,0.5567,0.99345,0.91136,0.95384,0.97734,0.7273,1.1557,0.48234,1.02482,0.0013532,0.0013532,0.0013532
100,1328.12,1.06815,0.54287,0.99739,0.92497,0.93701,0.97318,0.73364,1.12199,0.48685,1.00736,0.0013466,0.0013466,0.0013466
101,1341.44,1.06586,0.54576,0.99294,0.92186,0.94727,0.97276,0.72167,1.12283,0.47698,1.0085,0.00134,0.00134,0.00134
102,1354.55,1.06462,0.55238,0.99332,0.90518,0.96027,0.97129,0.72014,1.13657,0.48659,1.00811,0.0013334,0.0013334,0.0013334
103,1367.83,1.09087,0.55526,0.99581,0.91464,0.94693,0.97455,0.72438,1.15146,0.49625,1.02032,0.0013268,0.0013268,0.0013268
104,1381.22,1.07666,0.54518,0.99476,0.92329,0.94028,0.97136,0.72426,1.11298,0.48505,1.00565,0.0013202,0.0013202,0.0013202
105,1394.53,1.06447,0.54537,0.99173,0.91134,0.95366,0.97676,0.72265,1.13967,0.48576,1.01654,0.0013136,0.0013136,0.0013136
106,1407.69,1.07049,0.53878,0.99499,0.91012,0.96143,0.97667,0.73453,1.11222,0.47951,1.00666,0.001307,0.001307,0.001307
107,1420.88,1.08149,0.55282,1.00208,0.91547,0.95712,0.97802,0.73294,1.11331,0.48527,1.00323,0.0013004,0.0013004,0.0013004
108,1434.18,1.0885,0.54982,0.99958,0.91601,0.95117,0.97552,0.73208,1.0949,0.48225,0.99487,0.0012938,0.0012938,0.0012938
109,1447.39,1.06744,0.54806,0.99316,0.9269,0.94141,0.97721,0.73167,1.11926,0.47531,1.01197,0.0012872,0.0012872,0.0012872
110,1460.42,1.0677,0.54562,0.99742,0.91817,0.94234,0.97407,0.72165,1.15891,0.49745,1.02753,0.0012806,0.0012806,0.0012806
111,1473.87,1.08452,0.5576,0.9947,0.91945,0.94745,0.97611,0.73042,1.13906,0.48798,1.01622,0.001274,0.001274,0.001274
112,1487.1,1.07421,0.54335,0.99397,0.91384,0.95292,0.97502,0.73217,1.11104,0.48587,1.00711,0.0012674,0.0012674,0.0012674
113,1500.16,1.0726,0.54182,0.99693,0.91671,0.95557,0.97368,0.72741,1.14088,0.48516,1.01482,0.0012608,0.0012608,0.0012608
114,1513.38,1.07626,0.54629,0.99558,0.91763,0.94043,0.97473,0.73127,1.12957,0.48897,1.01221,0.0012542,0.0012542,0.0012542
115,1526.86,1.08922,0.54646,0.99674,0.92605,0.93553,0.97338,0.72442,1.13853,0.48489,1.01503,0.0012476,0.0012476,0.0012476
116,1540.07,1.08462,0.54539,0.99745,0.92659,0.9375,0.97148,0.72219,1.13061,0.48247,1.00898,0.001241,0.001241,0.001241
117,1553.45,1.07896,0.55186,0.98965,0.91685,0.94482,0.97246,0.72088,1.13769,0.481,1.01258,0.0012344,0.0012344,0.0012344
118,1566.52,1.05145,0.53268,0.99393,0.92462,0.9403,0.97564,0.73066,1.13455,0.49008,1.00914,0.0012278,0.0012278,0.0012278
119,1579.9,1.07918,0.54438,0.99395,0.9301,0.94202,0.97916,0.73065,1.13073,0.48054,1.01282,0.0012212,0.0012212,0.0012212
120,1593.17,1.0533,0.53102,0.98832,0.90797,0.95384,0.97618,0.72687,1.15061,0.48399,1.01684,0.0012146,0.0012146,0.0012146
121,1606.16,1.0648,0.54068,0.98905,0.92103,0.95103,0.97569,0.72819,1.11504,0.47098,1.00896,0.001208,0.001208,0.001208
122,1619.3,1.06014,0.54024,0.98847,0.91267,0.94824,0.97672,0.73191,1.11294,0.47867,1.00179,0.0012014,0.0012014,0.0012014
123,1632.41,1.05897,0.53202,0.9936,0.92655,0.93311,0.97677,0.73148,1.11861,0.48005,1.00642,0.0011948,0.0011948,0.0011948
124,1645.9,1.08292,0.54856,0.98929,0.9238,0.93536,0.97661,0.73514,1.09483,0.47988,1.00232,0.0011882,0.0011882,0.0011882
125,1658.87,1.05889,0.5285,0.99477,0.91225,0.94922,0.97561,0.73384,1.10833,0.47898,1.00661,0.0011816,0.0011816,0.0011816
126,1671.96,1.03994,0.52703,0.98842,0.91926,0.94385,0.97626,0.73392,1.11527,0.47893,1.00842,0.001175,0.001175,0.001175
127,1685.15,1.04821,0.53114,0.98954,0.92221,0.94287,0.97831,0.73242,1.12945,0.48023,1.01028,0.0011684,0.0011684,0.0011684
128,1698.12,1.05905,0.53838,0.99604,0.92206,0.94733,0.97707,0.73299,1.12317,0.47203,1.01117,0.0011618,0.0011618,0.0011618
129,1711.67,1.07161,0.54032,0.98785,0.92494,0.93408,0.97672,0.73439,1.10254,0.49035,0.99975,0.0011552,0.0011552,0.0011552
130,1724.98,1.06217,0.53442,0.98963,0.93365,0.93652,0.97661,0.73741,1.09741,0.47125,1.00019,0.0011486,0.0011486,0.0011486
131,1738.22,1.04717,0.52281,0.98722,0.91433,0.95215,0.97713,0.73478,1.10644,0.46935,1.00154,0.001142,0.001142,0.001142
132,1751.42,1.06907,0.53518,0.98955,0.91113,0.95617,0.97718,0.72735,1.13565,0.47605,1.01492,0.0011354,0.0011354,0.0011354
133,1764.59,1.05112,0.52462,0.98728,0.92352,0.93994,0.97336,0.72749,1.15255,0.48433,1.02429,0.0011288,0.0011288,0.0011288
134,1777.77,1.06141,0.52955,0.98575,0.92571,0.94238,0.97007,0.72269,1.13872,0.47628,1.01282,0.0011222,0.0011222,0.0011222
135,1791.15,1.05786,0.52691,0.9795,0.91159,0.95653,0.97351,0.72845,1.11678,0.47361,1.00772,0.0011156,0.0011156,0.0011156
136,1804.06,1.03735,0.5246,0.98094,0.92969,0.93799,0.97492,0.73461,1.10396,0.46654,0.99948,0.001109,0.001109,0.001109
137,1817.29,1.0345,0.51512,0.98012,0.91609,0.94336,0.97421,0.73455,1.11066,0.4685,1.00316,0.0011024,0.0011024,0.0011024
138,1830.5,1.05931,0.52817,0.98774,0.91345,0.95703,0.9772,0.73608,1.10023,0.45994,1.00278,0.0010958,0.0010958,0.0010958
139,1843.69,1.04889,0.53266,0.98415,0.92293,0.93557,0.97574,0.73093,1.12952,0.4787,1.0167,0.0010892,0.0010892,0.0010892
140,1856.85,1.04818,0.52387,0.98754,0.9081,0.96289,0.97459,0.72621,1.16155,0.47597,1.02278,0.0010826,0.0010826,0.0010826
141,1870.14,1.06716,0.53092,0.99876,0.91241,0.9585,0.97663,0.7326,1.11885,0.47912,1.0058,0.001076,0.001076,0.001076
142,1883.19,1.03294,0.51709,0.9793,0.90892,0.9599,0.97717,0.73185,1.14304,0.4788,1.02101,0.0010694,0.0010694,0.0010694
143,1896.43,1.03819,0.51758,0.98353,0.91276,0.95557,0.97538,0.73277,1.11104,0.47045,1.00889,0.0010628,0.0010628,0.0010628
144,1909.88,1.06393,0.52682,0.98754,0.92689,0.94287,0.97477,0.72783,1.14045,0.46606,1.01976,0.0010562,0.0010562,0.0010562
145,1923.16,1.06329,0.52894,0.98413,0.9231,0.94362,0.97481,0.72811,1.11973,0.46341,1.0096,0.0010496,0.0010496,0.0010496
